whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),u,v,w,p,x,y,z,average_velocity
101,0.0025340381544083,0.0027774341870099,0,-7.00745237193042e-05,0.173847503229258,0.264141908035934,0,0.0025340381544083,0.0027774341870099,0,-7.00745237193042e-05,0.173847503229258,0.264141908035934,0,0.01
102,0.0021830175537616,0.0024380416143685,0,-7.11179732650353e-05,0.171383037410038,0.26351517291868,0,0.0021830175537616,0.0024380416143685,0,-7.11179732650353e-05,0.171383037410038,0.26351517291868,0,0.01
103,0.0032321042381227,0.0034157587215304,0,-6.89421765929985e-05,0.176907281047892,0.263787178671903,0,0.0032321042381227,0.0034157587215304,0,-6.89421765929985e-05,0.176907281047892,0.263787178671903,0,0.01
104,0.0049383826553821,0.0049465433694422,0,-6.63845343802404e-05,0.184130163759308,0.262600239726737,0,0.0049383826553821,0.0049465433694422,0,-6.63845343802404e-05,0.184130163759308,0.262600239726737,0,0.01
105,0.0042651784606277,0.0043217646889388,0,-6.77681302173454e-05,0.180555555688645,0.26254309719864,0,0.0042651784606277,0.0043217646889388,0,-6.77681302173454e-05,0.180555555688645,0.26254309719864,0,0.01
106,6.33491508779116e-05,9.99441763269715e-05,0,-7.24129848894193e-05,0.164685228975976,0.270525414108273,0,6.33491508779116e-05,9.99441763269715e-05,0,-7.24129848894193e-05,0.164685228975976,0.270525414108273,0,0.01
107,0.0002848614822141,0.0004231414932291,0,-7.308628111599e-05,0.164954384169147,0.268044080192014,0,0.0002848614822141,0.0004231414932291,0,-7.308628111599e-05,0.164954384169147,0.268044080192014,0,0.01
108,0.0006044211913831,0.0008223998593166,0,-7.35610116887481e-05,0.165248674745067,0.265753800561915,0,0.0006044211913831,0.0008223998593166,0,-7.35610116887481e-05,0.165248674745067,0.265753800561915,0,0.01
109,0.0010403726482763,0.0013219501124694,0,-7.30121995227346e-05,0.166459561644882,0.264318094272238,0,0.0010403726482763,0.0013219501124694,0,-7.30121995227346e-05,0.166459561644882,0.264318094272238,0,0.01
110,0.0018036012770608,0.0020611891523003,0,-7.2456139557472e-05,0.168699229644429,0.2628078629907,0,0.0018036012770608,0.0020611891523003,0,-7.2456139557472e-05,0.168699229644429,0.2628078629907,0,0.01
111,0.0026459030341357,0.0028177483472973,0,-7.15576649326861e-05,0.171012252822862,0.261322706026002,0,0.0026459030341357,0.0028177483472973,0,-7.15576649326861e-05,0.171012252822862,0.261322706026002,0,0.01
112,0.0033710859715938,0.0034694201312959,0,-7.01790041156066e-05,0.174400221368037,0.261233960931114,0,0.0033710859715938,0.0034694201312959,0,-7.01790041156066e-05,0.174400221368037,0.261233960931114,0,0.01
113,0.0053966380655765,0.0052073164843022,0,-6.7298963723044e-05,0.181959326355957,0.259223197752321,0,0.0053966380655765,0.0052073164843022,0,-6.7298963723044e-05,0.181959326355957,0.259223197752321,0,0.01
114,0.0043944823555648,0.0043480172753334,0,-6.8787536361007e-05,0.178140846680878,0.260226801081287,0,0.0043944823555648,0.0043480172753334,0,-6.8787536361007e-05,0.178140846680878,0.260226801081287,0,0.01
